<Trait>	BLUE_Yield	BLUE_DTS	BLUE_DTA	BLUE_PH	BLUE_EH
PI601009xAmes26798	6.0843	66.4401	64.2298	198.3331	88.1353
PI601009xPI634211	6.7427	66.3308	63.8998	212.6501	88.1896
PI601009xH99	7.2543	66.279	65.1759	203.0389	88.2035
PI601009xPI601566	8.0188	67.1922	65.0039	207.915	88.2154
PI601009xAmes19293	5.6149	66.7454	64.7024	206.8341	88.2389
PI601009xPI587153	5.2019	65.0965	63.3404	198.7893	88.3175
PI601009xPI550507	6.2591	65.897	64.5548	209.3466	88.3326
PI601009xPI601724	7.5102	67.0012	65.1389	209.0787	88.3961
PI601009xAmes26804	7.4811	68.0961	65.7913	209.8287	88.4644
PI601009xAmes23449	5.6342	64.9935	63.3937	206.8067	88.5156
PI601009xPI601190	6.2616	66.4062	63.9367	201.5624	88.6109
PI601009xPI538231	5.9305	65.5551	63.6568	213.8368	88.6562
PI601009xNSL42806	5.3554	65.7	62.8729	211.6813	88.7104
PI601009xAmes24719	6.0817	65.7051	64.0329	209.13	88.7854
PI601009xPI596357	5.8861	69.0491	67.9003	199.6591	88.8224
PI601009xPI608768	6.6858	66.4304	64.3887	210.5273	88.8987
PI601009xAmes22749	7.1017	66.6003	64.0837	215.9627	88.9446
PI601322xAmes27033	6.0446	65.0923	62.576	211.3441	89.0027
PI601322xAmes27057	-999	65.4533	63.0378	203.0373	89.083
PI601009xAmes24744	6.1147	65.3684	63.7079	205.136	89.1004
PI601009xPI601457	6.0293	64.5156	62.2881	217.9442	89.355
PI601009xPI601574	7.076	67.0325	65.8559	211.4041	89.5295
PI601009xPI550492	5.5367	66.1203	63.9095	203.9546	89.5435
PI601322xH99	6.6995	65.1607	63.222	213.6248	89.56
PI601009xAmes24716	6.1689	66.5792	65.3247	189.9899	89.6575
PI601009xNSL30876	6.5397	66.9485	64.6048	210.4579	89.6951
PI601009xEA2000	5.2935	63.7853	62.0707	197.2658	89.7486
PI601009xAmes28985	4.0739	65.91	63.3244	201.6424	89.7979
PI601009xAmes23421	5.5691	64.9897	63.4739	199.3433	89.8393
PI601009xAmes24745	6.6834	67.2535	64.7251	208.2347	90.0215
PI601009xPI594078	7.2305	67.1034	64.8846	199.2321	90.0294
PI601009xNSL438036	6.3871	67.0494	65.4822	204.5525	90.1816
PI601009xA635	6.4393	65.6578	64.1262	197.9947	90.2194
PI601009xAmes24748	6.2127	66.213	64.4354	218.7746	90.2419
PI601009xPI524969	6.9879	65.9851	64.4135	216.6546	90.3051
PI601009xAmes2327	5.7726	68.0724	66.3382	202.5547	90.3668
PI601009xAmes22757	6.0407	65.1935	63.5456	206.933	90.3833
PI601009xMo47	6.6429	66.9378	65.019	200.9151	90.3904
PI601009xAmes26770	6.6245	68.3264	65.8774	216.3665	90.4067
PI601009xPI601318	7.3608	64.7789	64.071	200.3021	90.4686
PI601009xPI601727	6.814	65.0596	62.9271	196.5209	90.4829
PI601009xAmes19313	7.4372	66.9992	65.1941	197.0713	90.5164
PI601009xPI186227	6.3824	66.3778	64.3414	207.8309	90.5271
PI601322xPI594054	7.2716	67.5389	65.1787	216.3802	90.5809
PI601009xAmes22755	7.3138	66.9729	65.2743	206.0677	90.6176
PI601009xB104	6.4473	68.4013	65.8756	204.0517	90.6237
PI601009xAmes23406	5.5286	65.1737	63.1554	214.4604	90.6272
PI601322xAmes28186	5.1925	66.1363	62.9183	216.3219	90.6469
PI601009xNSL29303	6.056	67.6712	65.5831	208.5122	90.6961
PI601009xAmes26757	-999	66.4973	65.3049	209.676	90.7146
PI601009xPI601319	6.9749	65.5793	63.8146	194.9413	90.7742
PI601009xNSL437931	6.7944	69.2444	66.1259	199.4806	90.8024
PI601009xAmes28991	4.3708	66.397	64.777	217.2896	90.8046
PI601009xPI601438	7.3255	66.4825	65.6647	216.9638	90.9231
PI601009xPI607384	6.2736	66.7536	64.6307	214.0157	90.9258
PI601009xEP10	5.0263	67.2576	64.6664	211.9215	91.0389
PI601009xA659	6.1211	65.9703	65.0717	217.0323	91.0525
PI601009xAmes27046	4.863	64.082	62.0425	210.9779	91.07
PI601009xAmes28426	7.8604	67.9994	65.9949	212.5387	91.1129
PI601009xPI608764	6.8954	67.367	65.817	208.7193	91.1379
PI601009xPI601080	-999	64.802	62.7122	217.9277	91.1402
PI601009xNSL30065	5.2686	65.2376	63.5433	209.5827	91.186
PI601009xPI601320	6.6388	68.9386	67.5463	221.1832	91.197
PI601009xNSL29314	6.413	65.5922	63.8023	214.7026	91.2165
PI601009xAmes29014	3.6298	68.6123	67.6358	213.2716	91.2292
PI601009xAmes26775	7.0326	67.774	66.1385	222.0801	91.2888
PI601009xAmes22751	5.0875	67.0391	66.4762	192.2001	91.4464
PI601009xEP32	5.7362	64.8013	62.8799	207.3841	91.5386
PI601009xB76	3.6233	69.5759	68.7196	194.8233	91.6008
PI601009xPI601270	7.2138	65.9567	63.8249	199.1427	91.6161
PI601322xEA2000	5.9948	65.9082	63.3529	214.8389	91.6257
PI601009xNSL30054	5.644	65.3571	64.4647	207.7075	91.7341
PI601009xAmes26755	6.884	67.3292	65.4895	200.5682	91.8061
PI601009xPI601005	6.7671	65.0273	63.2185	194.9653	91.8986
PI601009xB37	4.1639	71.6052	70.0758	210.6611	91.8989
PI601009xNSL438022	6.5229	66.8142	65.7841	209.2349	91.9031
PI601009xMR20_(Shoe_Peg)	-999	71.0668	68.8714	214.5875	91.9753
PI601009xPI600944	7.5611	65.0601	64.0945	212.3335	92.0197
PI601009xMo46	5.5114	67.6215	65.0325	212.1857	92.067
PI601322xAmes26804	7.6401	69.3323	66.128	225.3664	92.162
PI601322xPI594057	7.3963	68.5395	65.8638	224.1036	92.1867
PI601009xAmes24711	6.1788	67.2168	64.5504	216.1828	92.2055
PI601009xPI186193	5.657	64.8237	63.2077	199.2214	92.2327
PI601009xNSL30055	6.4791	65.7232	64.5017	204.8648	92.3369
PI601009xPI601496	6.8114	65.947	64.6657	217.7194	92.658
PI601009xPI601494	6.4152	67.9177	65.5569	210.1146	92.7585
PI601009xAmes12727	6.8865	71.118	68.3022	223.9707	92.7809
PI601009xPI221750	5.5868	65.1197	63.9838	206.0628	92.794
PI601009xAmes28412	6.899	68.7159	66.7191	210.6742	92.8404
PI601009xN192	7.5025	65.6024	64.7048	197.2804	92.87
PI601009xNSL28966	6.9106	67.1286	64.9172	216.8669	92.9417
PI601009xA682	6.4155	65.5235	63.667	212.5574	93.0099
PI601009xA634	6.4936	66.2332	65.3492	207.9106	93.0391
PI601009xAmes27184	6.9557	66.1034	65.3144	211.5109	93.0481
PI601009xPI550567	6.5165	65.3884	63.4795	215.6481	93.0531
PI601009xPI601495	7.2339	66.2124	63.6647	207.8808	93.054
PI601009xPI340867	5.501	65.3582	63.6237	204.981	93.1614
PI601009xPI561695	6.0749	68.0223	64.6107	209.5567	93.1782
PI601009xPI340830	4.5972	63.7525	62.2356	206.2238	93.1935
PI601009xPI601783	7.6899	67.3728	64.6573	202.8449	93.2278
PI601009xPI340813	4.7087	67.0316	65.9253	214.1501	93.2309
PI601009xAmes19003	6.0561	67.1065	65.7268	206.5856	93.3134
PI601009xNSL437947	6.9682	70.636	69.1059	204.5703	93.4627
PI601009xPI607527	5.1125	63.8793	62.5652	210.8529	93.4867
PI601009xPI567793	4.9031	65.6189	64.2555	213.5236	93.6045
PI601009xAmes19284	6.9822	69.4964	67.208	230.3536	93.642
PI601009xPI596502	6.7916	66.7948	64.5014	227.9962	93.657
PI601009xPI601788	7.1837	67.6552	65.986	204.6943	93.7195
PI601009xAmes23430	5.4591	65.4006	63.8586	201.5907	93.7521
PI601009xAmes24712	5.1888	67.1607	65.4654	208.0355	93.7536
PI601009xAmes24708	5.2242	64.7269	63.514	195.0651	93.8448
PI601009xPI553057	5.4585	65.7742	63.8078	214.6373	93.8593
PI601009xAmes28413	7.607	68.7721	66.921	210.5665	93.8732
PI601009xPI597925	6.3527	66.6991	64.3691	210.0559	93.9187
PI601322xAmes24712	6.491	67.93	64.4763	215.8968	93.9254
PI601009xI205	5.4309	66.3975	64.8277	205.3292	94.0347
PI601009xAmes23461	6.645	66.185	64.2167	203.6621	94.0997
PI601009xPI594045	6.1576	67.9274	66.4259	203.6875	94.3259
PI601009xAmes26784	5.2243	66.6325	65.1032	203.3852	94.3492
PI601009xNC262	6.6571	68.3618	66.5076	210.6417	94.361
PI601322xNC262	7.1198	68.7326	64.7598	225.2801	94.3988
PI601009xPI601570	7.6607	65.2854	63.7379	215.4285	94.4378
PI601009xNSL30835	5.8706	65.1266	63.7383	199.645	94.4384
PI601009xPI303936	6.6487	64.9034	63.3425	210.7977	94.4998
PI601009xAmes24737	6.0887	65.4258	64.2548	196.6727	94.5523
PI601009xPI550568	6.8397	66.2825	64.4909	214.2145	94.6052
PI601009xAmes12820	5.4094	67.9894	66.6916	212.0763	94.6883
PI601322xAmes24743	6.7498	66.2828	64.1955	221.4991	94.7045
PI601322xPI553057	-999	67.1262	64.3096	235.8964	94.7048
PI601009xAmes27120	4.9236	68.8635	65.7705	222.5838	94.8434
PI601322xNSL28966	7.1487	67.1846	64.3388	230.5256	94.9109
PI601009xPI415088	5.9026	66.1931	64.3021	199.1861	95.0222
PI601009xN7A	7.0651	67.0518	66.1306	200.9983	95.06
PI601009xNSL438029	6.9321	68.5205	67.3861	214.9705	95.0676
PI601009xPI607383	7.3073	68.3304	66.4723	219.2589	95.0715
PI601009xEP71	5.9066	64.971	63.727	207.2056	95.0786
PI601009xNSL42807	4.8231	65.5657	63.0228	193.8213	95.128
PI601009xNSL438031	6.7623	67.2904	66.6641	218.2221	95.1521
PI601009xEP51	6.167	65.6887	63.5702	205.1593	95.1671
PI601009xAmes19011	5.6966	69.2507	66.5607	222.5423	95.2276
PI601009xAmes24989	7.2933	68.4133	67.119	201.0724	95.2495
PI601009xPI606768	5.6133	67.1738	65.3118	210.4669	95.2871
PI601009xAmes22753	5.8698	66.8173	65.604	204.2785	95.2927
PI601009xNSL197104	6.6368	65.9303	63.7773	206.0389	95.293
PI601009xNSL437908	7.1913	68.0344	66.7739	219.8369	95.3034
PI601009xPI606330	6.8018	68.5815	66.3511	214.0686	95.3502
PI601009xAmes24733	5.9083	65.485	63.5842	214.1665	95.3735
PI601009xAmes22754	6.5041	68.2634	66.9715	201.9093	95.38
PI601009xPI601466	7.5468	67.2255	65.8963	210.5079	95.3801
PI601009xPI221747	6.0366	65.2001	64.0241	207.3662	95.4214
PI601009xPI601501	8.1658	68.0087	66.3363	211.4491	95.4245
PI601009xAmes29003	5.1547	67.1991	65.2868	209.9198	95.426
PI601009xPI520770	5.8553	65.4943	63.5251	206.2125	95.4291
PI601009xAmes30533	4.2162	67.4206	66.1339	209.461	95.5143
PI601009xAmes19001	7.0291	69.4233	66.9842	211.0984	95.5578
PI601322xA682	6.3623	65.9948	63.2881	215.1461	95.7041
PI601322xB115	1.5987	74.6114	69.6065	216.8479	95.7078
PI601009xPI638552	7.0928	67.2051	65.5708	224.8004	95.7587
PI601009xEP42	5.9004	65.0724	63.3577	203.5836	95.7642
PI601009xAmes24727	6.0457	65.8403	64.1191	206.8674	95.7848
PI601009xPI221743	5.8086	67.6084	65.261	210.4288	95.7948
PI601009xNSL29319	6.0429	65.6872	63.8038	202.199	95.8129
PI601009xAmes24709	6.0025	65.5955	63.6006	218.7413	95.8195
PI601009xNC250	4.8939	69.6792	68.7669	203.372	95.8294
PI601009xPI601208	6.3755	67.1058	65.8232	208.6217	95.8571
PI601009xNSL437962	6.7743	68.7781	66.9791	210.4875	95.8713
PI601009xNSL81597	5.5661	66.1253	65.078	215.6194	95.8809
PI601009xEA2841	6.9305	65.1936	63.8548	216.0425	95.9038
PI601009xPI415087	5.5891	65.9562	64.4009	193.1155	95.9434
PI601009xAmes19014	7.2756	67.0836	65.0714	217.3604	95.9578
PI601009xNSL29289	5.6695	64.324	62.1204	211.9758	95.9713
PI601009xPI568159	6.6803	70.5718	68.1969	209.3025	96.0333
PI601322xAmes22750	6.378	68.0182	64.531	224.1553	96.0362
PI601009xNSL30074	6.6501	64.1817	63.0958	209.7815	96.0391
PI601009xPI538007	6.8586	65.623	64.3613	202.3259	96.0457
PI601322xAmes27196	6.3156	67.4573	64.4809	203.5103	96.1367
PI601009xPI596501	6.9427	67.1046	65.75	211.9045	96.1557
PI601009xAmes26769	6.4315	68.2274	66.6828	224.4569	96.1943
PI601009xNSL30053	6.5035	66.962	65.5577	210.7994	96.2033
PI601009xPI415086	5.845	66.544	64.6495	198.0515	96.2136
PI601009xAmes12815	6.7814	68.6641	67.8885	201.1235	96.2208
PI601009xB109	6.9022	67.6282	66.5987	214.1649	96.2336
PI601009xAmes27175	6.8772	67.9351	66.449	216.7161	96.2375
PI601009xPI601209	7.9352	66.0296	63.725	214.8113	96.2524
PI601322xEP32	5.4413	66.5764	64.0425	231.477	96.2627
PI601009xNSL437932	5.8211	70.2088	67.6031	222.5942	96.2727
PI601322xAmes23485	6.3341	64.3832	62.2937	218.1382	96.3012
PI601009xNSL65868	6.4564	67.3836	66.0937	216.6644	96.333
PI601009xNSL437994	6.113	67.8286	65.9044	211.3057	96.3474
PI601009xNSL30863	7.8164	67.7194	65.1408	211.6769	96.3483
PI601009xPI517968	4.9479	66.0635	64.6002	209.6068	96.4209
PI601322xNSL30059	6.073	64.0756	62.2296	220.9493	96.426
PI601322xNSL8585	4.9665	67.0637	63.7451	235.9454	96.4616
PI601322xPI601080	6.1494	65.4927	63.5375	225.4495	96.5219
PI601322xPI550463	5.577	67.4211	64.7749	236.189	96.5518
PI601009xNSL437979	6.8135	68.5152	66.7515	204.2908	96.583
PI601322xAmes19313	6.5219	66.4383	64.2261	206.5919	96.5923
PI601009xH105W	5.6484	67.4501	65.4581	196.4628	96.6977
PI601009xAmes23415	6.2686	65.2975	64.1248	203.9848	96.6982
PI601322xPI538237	5.9526	65.1189	62.6597	217.1057	96.7003
PI601009xPI542776	-999	72.6415	67.1964	198.7536	96.7075
PI601009xAmes24717	5.7011	68.2488	67.0707	201.6812	96.7565
PI601322xA641	5.964	64.8715	62.5486	218.2538	96.7755
PI601009xNSL30873	7.3631	67.2443	65.7253	213.9705	96.791
PI601009xAmes23435	6.7177	67.2975	64.8517	205.0152	96.8196
PI601009xAmes23922	6.0901	65.8454	64.1117	217.6294	96.825
PI601009xPI547086	7.1033	67.5245	65.9865	215.4105	96.8491
PI601009xAmes23460	5.9865	65.1645	63.5245	208.8922	96.8996
PI601322xPI303932	4.8412	66.7399	64.47	221.7867	96.9395
PI601009xAmes23479	6.1721	68.0628	65.765	213.8915	96.9531
PI601009xPI601568	6.5703	68.2233	66.8752	206.6723	96.9592
PI601009xPI267164	7.3382	65.5939	63.6444	210.6098	96.983
PI601009xPI303930	5.0235	66.1245	63.5667	211.2332	97.0646
PI601009xNSL437992	6.1625	67.9648	66.2259	213.6992	97.0791
PI601322xAmes27053	5.9233	70.6001	67.2152	208.607	97.0991
PI601009xPI542957	6.9573	69.7609	67.4713	213.9224	97.1216
PI601009xAmes2332	7.2782	66.5096	64.1993	203.9848	97.1613
PI601009xPI340858	4.7489	66.7656	65.1261	218.3454	97.1861
PI601009xNSL30058	-999	66.0417	64.1753	202.7717	97.2011
PI601009xPI601008	7.3177	68.622	66.7707	209.5201	97.2472
PI601009xMo17	7.5401	68.1095	65.8272	214.6223	97.2525
PI601009xPI638553	6.9118	68.0339	66.4888	217.8593	97.2822
PI601009xPI550464	6.1746	65.9484	63.3327	209.6555	97.2975
PI601322xEP31	4.3949	64.1482	61.3628	218.4878	97.315
PI601009xPI539870	7.1128	67.3773	65.4856	211.7171	97.34
PI601009xDE811	6.1873	68.7132	68.2574	218.1253	97.3654
PI601009xNSL32735	5.3119	65.0125	63.4616	209.4068	97.3717
PI601009xPI186192	5.9785	66.8569	64.9863	206.5678	97.3906
PI601009xNSL438007	6.3891	68.338	66.3351	217.3392	97.4111
PI601009xPI597926	7.4499	66.4777	65.313	221.9309	97.4181
PI601009xAmes23399	5.6936	64.6207	63.4487	224.7966	97.4388
PI601009xB97	7.1862	66.8371	64.6456	216.5291	97.4777
PI601009xAmes26128	6.5088	67.3872	65.2392	223.4655	97.5012
PI601009xPI601725	8.4918	66.7303	64.7601	216.2213	97.5273
PI601009xPI584529	6.5649	66.059	66.2129	207.8929	97.5949
PI601009xNSL30909	6.2207	67.0274	64.8723	204.52	97.6618
PI601009xAmes23493	6.7891	65.9076	64.3296	215.5858	97.682
PI601009xNSL437980	6.6069	68.767	66.8061	215.2152	97.787
PI601009xAmes19004	5.9909	67.5762	66.411	214.3157	97.799
PI601009xPI601502	7.1366	67.8411	66.9776	214.5042	97.8021
PI601009xAmes23423	-999	65.5001	64.924	204.3911	97.8126
PI601009xB46	6.6231	68.5309	66.5346	219.0097	97.8172
PI601009xPI583774	7.9	66.2306	64.4714	214.3339	97.8335
PI601009xPI596506	5.3472	65.5826	63.7909	209.5329	97.8457
PI601009xNSL437909	6.3451	69.0784	66.8274	216.6663	97.8497
PI601009xPI601459	6.3122	66.2099	64.2256	212.367	97.8786
PI601009xAmes2338	5.641	66.1626	63.837	200.0409	98.0328
PI601322xPI606768	6.7787	67.308	64.2162	226.6013	98.04
PI601009xAmes2341	4.6199	70.4718	67.7077	217.4052	98.0477
PI601009xAmes26004	3.7892	68.5174	66.0724	197.6075	98.0498
PI601009xPI583846	7.4871	66.2147	64.0138	219.3655	98.0766
PI601009xAmes24747	5.8612	68.3892	67.4422	204.7769	98.0985
PI601009xPI601229	7.0939	67.8287	66.1016	215.0181	98.1598
PI601009xPI596505	6.5591	66.9909	64.1081	235.4064	98.1861
PI601009xNSL437877	7.7319	69.7726	68.0563	210.2743	98.2198
PI601009xNSL30907	5.7603	67.5856	65.5357	211.5329	98.2246
PI601009xAmes14114	7.3888	68.9964	65.9559	212.6622	98.3003
PI601322xAmes22757	5.2198	66.3003	63.5473	224.9167	98.3561
PI601322xAmes23422	-999	66.2717	63.5388	239.9424	98.3646
PI601009xPI608778	6.6107	67.3324	65.7719	216.5874	98.3861
PI601009xPI601499	7.1986	66.8324	65.6993	209.991	98.4064
PI601322xAmes23467	6.9463	66.9561	63.5759	217.9362	98.4383
PI601009xPI601777	6.3769	68.0433	67.594	221.0777	98.4625
PI601009xPI601269	7.6869	68.0567	65.666	213.4742	98.4707
PI601009xAmes29005	4.6089	69.0771	66.9904	210.6825	98.479
PI601009xNSL29286	6.5243	66.3222	66.1469	189.7395	98.5306
PI601322xPI550507	6.1312	67.6138	64.004	231.6241	98.5528
PI601009xB75	6.4676	67.5376	66.2005	219.7922	98.589
PI601009xPI583847	6.1098	66.5681	65.8027	213.9623	98.5934
PI601009xPI267166	6.8377	68.239	64.5647	214.3787	98.5949
PI601009xPI595367	6.7915	68.6016	66.487	214.2422	98.6035
PI601009xAmes2337	6.1203	65.5508	63.5535	203.2377	98.6325
PI601009xPI606769	6.1883	65.7588	64.4066	211.1993	98.6404
PI601322xPI601808	6.7528	65.3708	64.6381	229.4841	98.7207
PI601009xAmes19326	5.6215	65.328	64.2787	210.349	98.7378
PI601009xNSL437996	6.083	67.7289	66.2104	217.2055	98.7624
PI601009xPI406106	7.8238	66.9949	65.5696	212.9688	98.7881
PI601009xAmes22442	5.0762	65.6591	63.7835	210.4119	98.8171
PI601009xPI303933	6.3097	65.7402	64.0546	202.4665	98.8195
PI601009xNSL437960	5.0826	71.6523	69.3262	186.3814	98.8331
PI601009xPI596356	6.1952	68.0965	66.9492	213.8643	98.8447
PI601009xPI340863	6.0176	66.7097	64.2519	202.3564	98.892
PI601009xPI594077	6.4528	67.6543	64.9624	212.5165	98.9166
PI601009xPI610494	7.0109	68.551	65.8752	214.3157	98.9189
PI601322xPI601190	6.4538	66.2326	63.0948	212.9614	98.9788
PI601009xPI340853	5.2636	66.6447	64.5148	216.9813	99.1036
PI601009xAmes19319	7.1352	68.0866	66.8346	217.393	99.1294
PI601009xPI550491	-999	61.5322	60.6081	229.79	99.1401
PI601009xAmes23475	5.0692	64.7082	63.1799	212.3154	99.1632
PI601009xNSL29898	6.6067	65.1811	63.8674	212.1019	99.2083
PI601009xAmes19016	7.1487	66.8913	65.1015	217.6445	99.2473
PI601009xAmes14116	6.8222	69.1183	66.0133	226.561	99.2635
PI601009xAmes27138	6.289	68.2648	67.29	217.7479	99.2928
PI601322xAmes19318	6.573	67.2251	64.5835	230.3903	99.3022
PI601009xPI406125	5.9004	67.6361	65.1644	215.294	99.3141
PI601009xNSL30063	6.821	66.1098	64.142	214.898	99.3402
PI601009xAmes23464	6.8643	65.6807	64.1775	209.4885	99.4034
PI601009xAmes28366	7.3591	67.2323	66.0358	201.6981	99.4073
PI601009xPI533658	6.2373	68.0277	66.8761	203.0891	99.4264
PI601009xPI641242	7.3063	68.3098	66.165	219.9272	99.4358
PI601009xPI550466	6.8043	67.4491	66.0471	216.7697	99.4423
PI601322xPI550565	5.9779	66.8264	62.9488	224.3602	99.5168
PI601322xAmes26798	6.0593	66.5184	64.2675	223.0365	99.5665
PI601009xPI303932	5.5385	64.5046	63.134	211.0521	99.5719
PI601009xPI524970	6.3954	66.2444	64.9784	212.3732	99.5755
PI601009xPI601576	6.2207	69.1966	67.3025	212.8829	99.5919
PI601009xPI648430	7.0721	68.0667	65.9483	219.8258	99.6103
PI601009xAmes26135	6.2479	69.0274	66.7445	215.2584	99.6595
PI601009xPI632746	7.64	66.0122	63.966	222.0329	99.6763
